Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,foci per chromosome,comments,quality
hei10++,15.11.19,22,2,21.2,63.872,,,,,,y,,3,,1
hei10++,15.11.19,22,2,21.2,50.1174,,,,,,y,,1,,1
hei10++,15.11.19,22,2,21.2,54.9743,,,,,,y,,2,,1
hei10++,15.11.19,22,2,22,39.688,,,,,late,y,10,1,,1
hei10++,15.11.19,22,2,22,58.7998,,,,,,y,,3,,1
hei10++,15.11.19,22,2,22,45.7379,,,,,,y,,2,,1
hei10++,15.11.19,22,2,22,40.822,,,,,,y,,2,,1
hei10++,15.11.19,22,2,22,66.0238,,,,,,y,,2,,1
hei10++,15.11.19,22,2,25,50.4007,,,,,late,y,12,3,,1
hei10++,15.11.19,22,2,25,39.4202,,,,,,y,,2,,1
hei10++,15.11.19,22,2,25,65.8949,,,,,,y,,2,,1
hei10++,15.11.19,22,2,25,36.7975,,,,,,y,,2,,1
hei10++,15.11.19,22,2,25,55.4004,,,,,,y,,3,,1
hei10++,15.11.19,22,2,28,48.4794,,,,,late,y,10,2,,0
hei10++,15.11.19,22,2,28,39.8576,,,,,,y,,1,,1
hei10++,15.11.19,22,2,28,38.1081,,,,,,y,,2,,0
hei10++,15.11.19,22,2,28,53.0531,,,,,,y,,3,,0
hei10++,15.11.19,22,2,28,45.0398,,,,,,y,,2,,0
hei10++,15.11.19,22,2,29,90.6004,,,,,late,n,11,,,
hei10++,15.11.19,22,2,29,88.2396,,,,,,y,,,,
hei10++,15.11.19,22,2,29,74.7996,,,,,,n,,,,
hei10++,15.11.19,22,2,29,63.0298,,,,,,y,,,,
hei10++,15.11.19,22,2,29,73.2111,,,,,,y,,,,
hei10++,15.11.19,22,1,1.1,50.3072,,,,,mid/late,y,12,,,
hei10++,15.11.19,22,1,1.1,63.2988,,,,,,y,,,,
hei10++,15.11.19,22,1,1.1,38.8074,,,,,,y,,,,
hei10++,15.11.19,22,1,1.1,39.0628,,,,,,y,,,,
hei10++,15.11.19,22,1,1.1,62.5254,,,,,,y,,,,
hei10++,15.11.19,22,1,1.2,50.4262,,,,,mid,y,,,,
hei10++,15.11.19,22,1,1.2,56.9491,,,,,,y,,,,
hei10++,15.11.19,22,1,1.2,63.2316,,,,,,n,,,,
hei10++,15.11.19,22,1,1.2,35.0185,,,,,,y,,,,
hei10++,15.11.19,22,1,1.2,43.1104,,,,,,y,,,,
hei10++,15.11.19,22,1,2,52.0428,,,,,late,y,11,3,,1
hei10++,15.11.19,22,1,2,36.6666,,,,,,y,,2,,1
hei10++,15.11.19,22,1,2,57.0099,,,,,,y,,2,,1
hei10++,15.11.19,22,1,2,36.0178,,,,,,y,,2,,1
hei10++,15.11.19,22,1,2,38.6936,,,,,,y,,2,,1
hei10++,15.11.19,22,1,4,47.969,,,,,late,y,9,2,,1
hei10++,15.11.19,22,1,4,42.0312,,,,,,y,,2,,1
hei10++,15.11.19,22,1,4,57.8774,,,,,,n,,2,,0
